sample_id,target_q1_rad,target_q2_rad,target_q3_rad,target_q4_rad,target_q5_rad,target_q6_rad,preview_valid
110,0,0.5235987756,1.221730476,-0.2617993878,-0.3490658504,1.047197551,1
111,0,0.5235987756,1.221730476,0.2617993878,-0.3490658504,1.047197551,1
112,0,0.5235987756,1.221730476,0.7853981634,-0.3490658504,1.047197551,1
113,0,0.5235987756,1.221730476,0.7853981634,0,1.047197551,1
114,0,0.5235987756,1.221730476,0.7853981634,0.3490658504,1.047197551,1
115,0,0.5235987756,1.221730476,0.2617993878,0.3490658504,1.047197551,1
116,0,0.5235987756,1.221730476,0,0.3490658504,1.047197551,1
117,0,0.5235987756,1.221730476,-0.2617993878,0.3490658504,1.047197551,1
118,0,0.5235987756,1.221730476,-0.7853981634,0,1.047197551,1
119,0,0.5235987756,1.221730476,-0.7853981634,-0.3490658504,1.047197551,1
120,0,0.5235987756,1.221730476,-0.7853981634,-0.3490658504,0.3490658504,1
121,0,0.5235987756,1.221730476,-0.7853981634,-0.3490658504,0,1
122,0,0.5235987756,1.221730476,-0.7853981634,-0.3490658504,-0.3490658504,1
123,0,0.5235987756,1.221730476,-0.7853981634,0,-0.3490658504,1
124,0,0.5235987756,1.221730476,-0.7853981634,0,0,1
125,0,0.5235987756,1.221730476,-0.7853981634,0,0.3490658504,1
126,0,0.5235987756,1.221730476,-0.7853981634,0.3490658504,0,1
127,0,0.5235987756,1.221730476,-0.7853981634,0.3490658504,-0.3490658504,1
128,0,0.5235987756,1.221730476,-0.7853981634,0,-1.047197551,1
129,0,0.5235987756,1.221730476,-0.7853981634,-0.3490658504,-1.047197551,1
130,0,0.5235987756,1.221730476,-0.2617993878,-0.3490658504,-1.047197551,1
131,0,0.5235987756,1.221730476,0,-0.3490658504,-1.047197551,1
132,0,0.5235987756,1.221730476,0.2617993878,-0.3490658504,-1.047197551,1
133,0,0.5235987756,1.221730476,0,0,-1.047197551,1
134,0,0.5235987756,1.221730476,-0.2617993878,0,-1.047197551,1
135,0,0.5235987756,1.221730476,-0.2617993878,0.3490658504,-1.047197551,1
136,0,0.5235987756,1.221730476,0,0.3490658504,-1.047197551,1
137,0,0.5235987756,1.221730476,0.2617993878,0.3490658504,-1.047197551,1
138,0,0.5235987756,1.221730476,0.2617993878,0,-1.047197551,1
139,0,0.5235987756,1.221730476,0.7853981634,-0.3490658504,-1.047197551,1
140,0,0.5235987756,1.221730476,0.7853981634,0,-1.047197551,1
141,0,0.5235987756,1.221730476,0.7853981634,0.3490658504,-1.047197551,1
142,0,1.221730476,0.5235987756,0.2617993878,-0.3490658504,-1.047197551,1
143,0,1.221730476,0.5235987756,0,-0.3490658504,-1.047197551,1
144,0,1.221730476,0.5235987756,-0.2617993878,-0.3490658504,-1.047197551,1
145,0,1.221730476,0.5235987756,-0.2617993878,0,-1.047197551,1
146,0,1.221730476,0.5235987756,0,0,-1.047197551,1
147,0,1.221730476,0.5235987756,0.2617993878,0,-1.047197551,1
148,0,1.221730476,0.5235987756,0,0.3490658504,-1.047197551,1
149,0,1.221730476,0.5235987756,-0.2617993878,0.3490658504,-1.047197551,1
150,0,1.221730476,0.5235987756,0.2617993878,0.3490658504,-1.047197551,1
151,0,1.221730476,0.5235987756,0.7853981634,0,-1.047197551,1
152,0,1.221730476,0.5235987756,0.7853981634,-0.3490658504,-1.047197551,1
153,0,1.221730476,0.5235987756,0.2617993878,-0.3490658504,-0.3490658504,1
154,0,1.221730476,0.5235987756,0,-0.3490658504,-0.3490658504,1
155,0,1.221730476,0.5235987756,-0.2617993878,-0.3490658504,-0.3490658504,1
156,0,1.221730476,0.5235987756,-0.2617993878,-0.3490658504,0,1
157,0,1.221730476,0.5235987756,0,-0.3490658504,0,1
158,0,1.221730476,0.5235987756,0.2617993878,-0.3490658504,0,1
159,0,1.221730476,0.5235987756,0,-0.3490658504,0.3490658504,1
160,0,1.221730476,0.5235987756,-0.2617993878,-0.3490658504,0.3490658504,1
161,0,1.221730476,0.5235987756,-0.2617993878,0,0,1
162,0,1.221730476,0.5235987756,0,0,0,1
163,0,1.221730476,0.5235987756,0.2617993878,0,0,1
164,0,1.221730476,0.5235987756,0,0,-0.3490658504,1
165,0,1.221730476,0.5235987756,-0.2617993878,0,-0.3490658504,1
166,0,1.221730476,0.5235987756,-0.2617993878,0.3490658504,-0.3490658504,1
167,0,1.221730476,0.5235987756,0,0.3490658504,-0.3490658504,1
168,0,1.221730476,0.5235987756,0.2617993878,0.3490658504,-0.3490658504,1
169,0,1.221730476,0.5235987756,0,0.3490658504,0,1
